Awardee,Population,fiscal-year,funds,Category,project,data-source,fund-name,comply-deadline,has_complied
Revere,"60,012",2023,"$4,000,000.00",mixed use development,"This award provides funding for traffic improvements to support the first phase of the transformative 161-acre Suffolk Downs redevelopment project to include 51,000 sf of life science space, 948 new residential units, 71,500 sf of retail, and a 159-key hotel. Four targeted traffic improvements funded by this grant will unlock $632M in private investment to catalyze the regionally significant transit-oriented mixed-use redevelopment project.",MassWorks 2023 Awards | Mass.govhttps://www.mass.gov/info-details/massworks-2023-awards,MassWorks Awards,2025,TRUE
Stoneham,"23,355",2024,"$4,000,000.00",mixed use development,"This project will make safety and multimodal improvements along the public right-of-way on Main Street (Route 28) corridor. Funding will be used to develop the final roadway design which will accommodate the redevelopment of a large parcel into a dense, mixed use project.",MassWorks 2024 Awards | Mass.gov,MassWorks Awards,2025,TRUE
Upton,"8,189",2024,"$3,620,615.00",mixed use development,"Upton will extend water and sewer infrastructure east from Upton Town Center along Route 140 and directly support a new private development with residences for adults 55+, townhouses, and a mixed-use component as well as unlock the development potential.",HousingWorks Infrastructure Awards | Mass.gov,HousingWorks Awards,2025,TRUE
Haverhill,"67,698",2023,"$4,000,000.00",public infrastructure,"Funding supports infrastructure repairs, upgrades and enhancements to support a $175 million redevelopment in downtown Haverhill that will transform the failed Urban Renewal District and Goecke Municipal Parking Deck into a vibrant public plaza and mixed-use development. This public infrastructure project creates the new public plaza, roadway, sidewalk and streetscape improvements on the surrounding street network.",MassWorks 2023 Awards | Mass.govhttps://www.mass.gov/info-details/massworks-2023-awards,MassWorks Awards,2024,TRUE
Haverhill,"67,698",2023,"$4,000,000.00",public infrastructure,"Funding supports infrastructure repairs, upgrades and enhancements to support a $175 million redevelopment in downtown Haverhill that will transform the failed Urban Renewal District and Goecke Municipal Parking Deck into a vibrant public plaza and mixed-use development. This public infrastructure project creates the new public plaza, roadway, sidewalk and streetscape improvements on the surrounding street network.",MassWorks 2023 Awards | Mass.govhttps://www.mass.gov/info-details/massworks-2023-awards,MassWorks Awards,2024,TRUE
Littleton,"10,280",2025,"$1,000,000.00",public infrastructure,Littleton will design and construct public infrastructure to leverage private investment to create new housing units as part of the 550 King Street project.,HousingWorks Infrastructure Awards | Mass.gov,HousingWorks Awards,2024,TRUE
Somerville,"81,036",2023,"$2,500,000.00",public infrastructure,"The project will result in approximately 20,000 sf of publicly-accessible open space in Winter Hill in a blighted area consisting of an approximately (i) 7,200 sf ""Broadway Pocket Plaza"", (ii) 7,700 SF ""Sewall Pocket Park"", and (iii) 4,700 sf ""Pedestrian Mews"" landscaped passageway. This will leverage private development to yield a total development of approximately $190 million to construct 288 units of rental housing that includes 132 units at 30% - 80% AMI and 14,000 sf of retail space.",MassWorks 2023 Awards | Mass.govhttps://www.mass.gov/info-details/massworks-2023-awards,MassWorks Awards,2025,TRUE
Worcester,"207,055",2026,"$1,000,000.00",public infrastructure,"Worcester will make public infrastructure improvements (roadway, streetscape, and water/sewer) to support approximately five housing developments adding 580 new housing units within Worcester's 3A district.",MBTA Communities Catalyst Fund Awards | Mass.govhttps://www.mass.gov/info-details/mbta-communities-catalyst-fund-awards,Catalyst Fund,2025,TRUE
Ayer,"8,645",2024,"$300,000.00",research,"Ayer will create Schematic Designs, Preliminary Engineering and Cost-Estimating for the proposed Ayer Center for Active Living.",Housing Choice Grant Program Awards | Mass.gov,Housing Choice Grant Program Awards,2023,TRUE
Medway,"13,436",2024,"$1,450,000.00",research,"To hire engineering firm to conduct engineering analysis and design for improvements of Milford Street (Route 109) from intersection with Summer Street (Route 126) to Milford Town line, approximately 1.8 miles. Will include surveying, traffic operation and safety analysis of four intersections (West St, Fisher St, Clark St. and Trotter Drive) and evaluation for potential signalization, stormwater management, and street design.",MassWorks 2024 Awards | Mass.gov,MassWorks Awards,2024,TRUE
North Andover,"31,490",2024,"$675,000.00",research,"The Town is seeking funds to fully design, engineer, and permit what are now conceptual plans for streetscape improvements in its downtown, from the intersection of Main and Sutton Street, to the intersection of Water and High Street (including some areas of side streets off of Main Street). Improvements to be designed include, but are not limited to, repaving, wider sidewalks, bumpouts, crosswalks with pedestrian signals, ornamental lighting, enhanced landscaping, accomodations for bicyclists.",MassWorks 2024 Awards | Mass.gov,MassWorks Awards,2024,TRUE
Salem,"44,795",2025,"$400,000.00",research,"Salem will conduct an alternatives analysis and prepare a 30% design plan for improvements to the Franklin St corridor in support of 230+ housing units (35% affordable) and ~48,255 sf of commercial space planned near its MBTA Station.",Housing Choice Grant Program Awards | Mass.gov,Housing Choice Grant Program Awards,2025,TRUE
Westborough,"21,944",2024,"$372,000.00",research,"To hire engineering firm to conduct engineering analysis and design for improvements of Milford Street (Route 109) from intersection with Summer Street (Route 126) to Milford Town line, approximately 1.8 miles. Will include surveying, traffic operation and safety analysis of four intersections and evaluation for potential signalization and stormwater management.",MassWorks 2024 Awards | Mass.gov,MassWorks Awards,2025,TRUE
Easton,"25,316",2025,"$500,000.00",road infrastructure,"Easton will pursue 75% preconstruction design work for about 1 mile of Foundry St, adding traffic management infrastructure, bicycle lanes, and sidewalks and crosswalks to serve the Furnace Village growth district.",Housing Choice Grant Program Awards | Mass.gov,Housing Choice Grant Program Awards,2024,TRUE
Framingham,"72,399",2025,"$2,000,000.00",road infrastructure,"Framingham will make intersection improvements at Fountain St./Dudley Rd., providing key upgrades along this major gateway into downtown and Cushing Park. Permanent traffic signals will be installed, ADA-accessible sidewalks/crosswalks improved, and dedicated turn lanes.",HousingWorks Infrastructure Awards | Mass.gov,HousingWorks Awards,2024,TRUE
New Bedford,"100,998",2024,"$5,000,000.00",road infrastructure,"New Bedford will reconstruct the main north-south corridors of multiple streets with improved pedestrian walkways, signaling, and bicycle accommodation.",HousingWorks Infrastructure Awards | Mass.gov,HousingWorks Awards,2024,TRUE
Quincy,"102,114",2024,"$300,000.00",road infrastructure,Quincy will make improvements to key intersections of Washington at Elm Street.,Housing Choice Grant Program Awards | Mass.gov,Housing Choice Grant Program Awards,2025,TRUE
Shrewsbury,"38,876",2025,"$500,000.00",road infrastructure,Shrewsbury will design a new connector road from South St to Green St near Route 20 that will support the Route 20 widening and a proposed 300-unit 40B development at 33-69 Green St.,Housing Choice Grant Program Awards | Mass.gov,Housing Choice Grant Program Awards,2025,TRUE
Waltham,"64,902",2025,"$6,000,000.00",road infrastructure,"This project will extend Green Street as a Complete Street between Main Street (Route 117) and Weston Street (US Route 20). Grant funds will support construction of 0.9 miles of roadway and streetscape improvements, reliving traffic congestion.",MassWorks 2025 Awards | Mass.gov,MassWorks Awards,2025,TRUE
Waltham,"64,902",2026,"$1,500,000.00",road infrastructure,"Waltham will extend Green Street as a complete street between Main St. (Rte. 117) and Weston St. (US Rte. 20), constructing roadway, making stormwater, streetscape, and utility improvements, along with intersection and signal modifications, to catalyze the development of up to 1,500 housing units.",HousingWorks Infrastructure Awards | Mass.gov,HousingWorks Awards,2025,TRUE
Watertown,"35,543",2026,"$1,000,000.00",road infrastructure,Watertown will construct a critical section of its community path along Arsenal Street to support a complete streets project within its 3A district.,MBTA Communities Catalyst Fund Awards | Mass.govhttps://www.mass.gov/info-details/mbta-communities-catalyst-fund-awards,Catalyst Fund,2025,TRUE
Weymouth,"58,505",2026,"$1,650,000.00",road infrastructure,"Weymouth will conduct the first phase of infrastructure improvements in Jackson Square to support redevelopment, including installing a roundabout, streetscape improvements, and upgrades to water and sewer infrastructure.",MBTA Communities Catalyst Fund Awards | Mass.govhttps://www.mass.gov/info-details/mbta-communities-catalyst-fund-awards,Catalyst Fund,2025,TRUE
Chelsea,"39,908",2025,"$5,000,000.00",sewage/water systems,"This infrastructure project includes installation of 4,397 linear feet of sewer and manhole structures to enable new housing units and retail spaces in a ransit-connected area.",MassWorks 2025 Awards | Mass.gov,MassWorks Awards,2024,TRUE
Leominster,"43,909",2024,"$2,974,276.00",sewage/water systems,"Leominster will upgrade sewer/water/sidewalks in the Marcello Avenue area of North Leominster to help facilitate two affordable housing projects, both on Marcello Avenue for a total of 57 units.",HousingWorks Infrastructure Awards | Mass.gov,HousingWorks Awards,2024,TRUE
Littleton,"10,280",2023,"$4,000,000.00",sewage/water systems,"The Littleton Sewer Project will provide critical sewer infrastructure to support the redevelopment of the 550 King Street parcel, unlocking the ability to create a thriving mixed-use development.",MassWorks 2023 Awards | Mass.govhttps://www.mass.gov/info-details/massworks-2023-awards,MassWorks Awards,2024,TRUE
Newton,"89,044",2025,"$5,000,000.00",sewage/water systems,"The project will replace a 100-year-old concrete box drainage culvert to support the adjacent 78 Crafts Street development project, which aims to provide a significant increase in the neighborhood’s housing opportunities.",MassWorks 2025 Awards | Mass.gov,MassWorks Awards,2024,TRUE
Salisbury,"9,281",2024,"$4,000,000.00",sewage/water systems,The Lafayette Road Sewer project will bring sewer to 100s of undeveloped Commercial/Mixed Use and Residential Acres in Salisbury. It is a priority project and was approved at Town meeting to move forward with construction. The Cost of the project is hindering redevelopment. We are applying for funds to help reduce the cost to the end user and incentivize commercial development in this area.,MassWorks 2024 Awards | Mass.gov,MassWorks Awards,2025,TRUE
Scituate,"19,365",2025,"$5,000,000.00",sewage/water systems,"This project will install approximately 6,500 linear feet of sewer main, a new pump station and generator. Expanded sewer service can support the creation of 428 new transit-oriented housing units.",MassWorks 2025 Awards | Mass.gov,MassWorks Awards,2025,TRUE
